Id,Note Id,Related to Id,Related to Type
12415515,70013135428,70060231062,Contact
12415702,70013135615,70060237083,Contact
12415797,70013135710,70060231069,Contact
12417341,70013137264,70060231069,Contact
12420560,70013140508,70060533278,Contact
12420983,70013140938,70060231061,Contact
12421098,70013141057,70060533272,Contact
12421976,70013141947,70060231067,Contact
12422919,70013142902,70060231070,Contact
12423751,70013143739,70060533273,Contact
12426122,70013146133,70060533274,Contact
12449324,70013169396,70060231062,Contact
12449817,70013169889,70060533273,Contact
12454757,70013174830,70060231067,Contact
12492478,70013212742,70060643961,Contact
12492857,70013213121,70060533273,Contact
12502108,70013222385,70060533274,Contact
12502616,70013222895,70060231069,Contact
12528042,70013248432,70060812734,Contact
12528139,70013248529,70060788883,Contact
12528214,70013248604,70060788878,Contact
12584640,70013305032,70060788878,Contact
12584847,70013305239,70060812734,Contact
12584910,70013305302,70060231067,Contact
12585096,70013305488,70060533273,Contact
12642480,70013362997,70060231070,Contact
12644610,70013365145,70060812734,Contact
12644655,70013365192,70060788883,Contact
12645028,70013365571,70060643961,Contact
12645523,70013366070,70060533278,Contact
12645593,70013366140,70060533274,Contact
12645675,70013366224,70060237083,Contact
12645736,70013366285,70060231069,Contact
12645828,70013366377,70060231062,Contact
12684072,70013404741,70061472840,Contact
12684259,70013404928,70061472840,Contact
12684310,70013404979,70061472940,Contact
12684454,70013405124,70061472847,Contact
12722685,70013443504,70061874700,Contact
12722848,70013443667,70061874699,Contact
12722951,70013443770,70061874696,Contact
12724819,70013445638,70061874692,Contact
12725238,70013446057,70061523945,Contact
12725343,70013446162,70061874693,Contact
12726026,70013446846,70061472930,Contact
12750246,70013471073,70061874694,Contact
12752086,70013472913,70061874697,Contact
12789312,70013510286,70062096652,Contact
12789928,70013510902,70060812734,Contact
12790042,70013511016,70061472847,Contact
12791990,70013512966,70060788883,Contact
12792031,70013513007,70060231069,Contact
12792443,70013513419,70061472835,Contact
12792794,70013513770,70061472844,Contact
12793255,70013514231,70061472947,Contact
12799494,70013520471,70061472959,Contact
12799618,70013520595,70061472965,Contact
12799696,70013520673,70079693652,Contact
12799741,70013520718,70062096646,Contact
12799877,70013520854,70062096650,Contact
12846169,70013567150,70062233887,Contact
12851514,70013572496,70062233891,Contact
12851717,70013572699,70062233884,Contact
12852006,70013572988,70060231064,Contact
12852203,70013573185,70060251514,Contact
12852369,70013573351,70061472973,Contact
12853036,70013574019,70062233893,Contact
12853953,70013574936,70062233885,Contact
12860430,70013581436,70062233894,Contact
12894355,70013615477,70062382645,Contact
12894924,70013616046,70062382634,Contact
12897573,70013618695,70061472947,Contact
12897620,70013618742,70062382655,Contact
12897673,70013618795,70061472947,Contact
12911413,70013632598,70062233889,Contact
12911688,70013632876,70062485113,Contact
12934257,70013655610,70062485110,Contact
12935272,70013656630,70062233890,Contact
12935518,70013656876,70061472977,Contact
12935793,70013657151,70062382638,Contact
12949408,70013670832,70062626347,Contact
12953019,70013674532,70062626335,Contact
12955335,70013676860,70062520642,Contact
12973921,70013695519,70062626349,Contact
12976350,70013697949,70062626338,Contact
12983791,70013705395,70061874693,Contact
13241627,70013963775,70061084536,Contact
13241795,70013963943,70061084542,Contact
13241884,70013964032,70061084537,Contact
13242028,70013964176,70061084537,Contact
13242522,70013964670,70061084538,Contact
13243005,70013965153,70061084540,Contact
13243687,70013965837,70061084540,Contact
13244106,70013966256,70061084541,Contact
13244485,70013966635,70061084541,Contact
13307295,70014029563,70061084539,Contact
13307462,70014029731,70061084539,Contact
13328089,70014050355,70063414048,Contact
13329503,70014051769,70063414043,Contact
13329609,70014051875,70062748512,Contact
13329680,70014051946,70062748507,Contact
13382349,70014104615,70063414045,Contact
13383174,70014105440,70062096654,Contact
13383469,70014105735,70062485112,Contact
13472606,70014195092,70062233892,Contact
