Id,Task Id,Related to Id,Related to Type
3550274,70003795504,70060231062,Contact
3551301,70003796532,70060533269,Contact
3551374,70003796605,70060533272,Contact
3559799,70003805071,70060533273,Contact
3576849,70003822158,70060643963,Contact
3576914,70003822226,70060788884,Contact
3576928,70003822240,70060788882,Contact
3588856,70003834189,70060533272,Contact
3588889,70003834223,70060533269,Contact
3606901,70003852389,70061472851,Contact
3607070,70003852559,70061472936,Contact
3607137,70003852627,70061472946,Contact
3616380,70003861920,70061472936,Contact
3616417,70003861957,70061472851,Contact
3618846,70003864400,70061523945,Contact
3624728,70003870270,70061874694,Contact
3624993,70003870529,70061874697,Contact
3664291,70003909936,70062096652,Contact
3664662,70003910307,70062096655,Contact
3674634,70003920287,70062233887,Contact
3679105,70003924765,70062233894,Contact
3689615,70003935312,70062382645,Contact
3689741,70003935438,70062382634,Contact
3689803,70003935500,70062382634,Contact
3689953,70003935650,70062382634,Contact
3690453,70003936150,70062382655,Contact
3690569,70003936267,70062382655,Contact
3699168,70003944916,70062485110,Contact
3699199,70003944947,70062485110,Contact
3705236,70003951108,70062520643,Contact
3713278,70003959190,70062626349,Contact
3713776,70003959688,70062626338,Contact
3784024,70004030128,70061084542,Contact
3795715,70004041866,70061084539,Contact
3808640,70004054825,70062485112,Contact
3846558,70004092919,70064410643,Contact
3851608,70004098005,70064410643,Contact
3852906,70004099304,70064410458,Contact
3852924,70004099322,70064410458,Contact
3869142,70004115557,70064994430,Contact
3869305,70004115721,70064994425,Contact
3869364,70004115780,70064994425,Contact
3869466,70004115882,70064994398,Contact
3869714,70004116129,70064994432,Contact
3870104,70004116518,70064994440,Contact
3889477,70004135984,70065632859,Contact
3889760,70004136267,70065632858,Contact
3890176,70004136684,70065632865,Contact
3913299,70004159848,70065906136,Contact
3949528,70004196102,70066273228,Contact
3981690,70004228295,70066541209,Contact
3982590,70004229198,70066541204,Contact
3982876,70004229484,70066541208,Contact
3982907,70004229515,70066273189,Contact
3983034,70004229643,70066541200,Contact
3983127,70004229736,70065906146,Contact
3983956,70004230565,70066273193,Contact
3984004,70004230613,70065906151,Contact
3984069,70004230678,70066273209,Contact
3984116,70004230725,70066273194,Contact
3984189,70004230798,70066273228,Contact
3988548,70004235179,70066541194,Contact
3988587,70004235218,70066666428,Contact
3997735,70004244383,70066956101,Contact
3998312,70004244962,70066956081,Contact
3998478,70004245129,70066956078,Contact
4024205,70004270899,70067125316,Contact
4024343,70004271037,70067125319,Contact
4024705,70004271399,70066956083,Contact
4024769,70004271463,70066956077,Contact
4024943,70004271637,70066956087,Contact
4027711,70004274409,70067259386,Contact
4034013,70004280722,70064994425,Contact
4051075,70004297871,70066956078,Contact
4051457,70004298253,70067259387,Contact
4084446,70004331307,70064994413,Contact
4084719,70004331584,70067710364,Contact
4084791,70004331656,70067710365,Contact
4094738,70004341641,70068078766,Contact
4102556,70004349517,70068247900,Contact
4102570,70004349531,70068247900,Contact
4119928,70004366996,70068463703,Contact
4240392,70004487831,70069050568,Contact
4240475,70004487914,70069050562,Contact
4240613,70004488052,70069050562,Contact
4241533,70004488974,70068463704,Contact
4358668,70004606247,70069050562,Contact
4367148,70004614760,70069050563,Contact
4535067,70004783057,70072513951,Contact
4559298,70004807368,70072728394,Contact
4568745,70004816849,70072513947,Contact
4568830,70004816934,70072728401,Contact
4569505,70004817609,70073052372,Contact
4576182,70004824290,70073052374,Contact
4577334,70004825447,70066956078,Contact
4577609,70004825722,70062485108,Contact
4650195,70004898581,70073538086,Contact
4650249,70004898634,70073537893,Contact
4711725,70004960250,70074369211,Contact
4763002,70005011706,70069090812,Contact
4763575,70005012284,70073809297,Contact
4763687,70005012396,70074238284,Contact
4764404,70005013114,70073809312,Contact
4794313,70005043108,70074913539,Contact
4795166,70005043964,70074846613,Contact
4795180,70005043978,70074846613,Contact
4795810,70005044619,70074972551,Contact
4799453,70005048268,70074023081,Contact
4815717,70005064611,70074068553,Contact
4815731,70005064625,70074068553,Contact
4870188,70005119273,70075969717,Contact
4876519,70005125646,70074023084,Contact
4907487,70005156772,70076032798,Contact
4914032,70005163377,70076080726,Contact
4914125,70005163470,70076080729,Contact
4914147,70005163492,70074068553,Contact
4943236,70005192655,70076785583,Contact
4946866,70005196282,70076825244,Contact
4975876,70005225433,70076932689,Contact
4986947,70005236588,70077055668,Contact
4988972,70005238615,70077267313,Contact
4991735,70005241396,70077148909,Contact
4991787,70005241448,70077055671,Contact
4999710,70005249414,70077344099,Contact
5015738,70005265457,70077400443,Contact
5016158,70005265883,70077400442,Contact
5051955,70005301708,70077481094,Contact
5071494,70005321274,70077611375,Contact
5072030,70005321811,70077571965,Contact
5072082,70005321863,70077670713,Contact
5082748,70005332610,70077720206,Contact
5088463,70005338327,70077821767,Contact
5110563,70005360487,70077919523,Contact
5110753,70005360677,70077919528,Contact
5110983,70005360907,70077919529,Contact
5120569,70005370563,70077995985,Contact
5120721,70005370715,70078079425,Contact
5126125,70005376130,70078157284,Contact
5126155,70005376160,70077919529,Contact
5127254,70005377267,70078243136,Contact
5141151,70005391181,70078292155,Contact
5163436,70005413700,70078625434,Contact
5163713,70005413980,70078502251,Contact
5249356,70005500110,70078802493,Contact
5249907,70005500663,70079693649,Contact
5251095,70005501858,70079693652,Contact
5560354,70005811183,70079934131,Contact
